"","session_id","dPlt","sex","age","orgn"
"538",9858094,"0","m",38,"us"
"539",9858131,"3","f",62,"ca"
"540",9858138,"3","m",51,"us"
"541",9858149,"-2","m",26,"us"
"542",9858170,"3","f",26,"us"
"543",9858184,"0","f",44,"us"
"544",9858160,"2","f",21,"us"
"545",9858171,"0","f",30,"us"
"546",9858178,"3","f",41,"us"
"547",9861066,"0","f",24,"us"
"548",9858189,"-3","m",45,"us"
"549",9858288,"2","f",24,"us"
"550",9858322,"0","f",33,"ca"
"551",9858641,,"f",54,"us"
"552",9858319,,,22,
"553",9858382,"2","f",64,"us"
"554",9872960,"3","f",63,"us"
"555",9858349,,,22,
"556",9858507,"0","f",46,"us"
"557",9858373,"1","m",30,"uk"
"558",9858531,"0","m",65,"us"
"559",9858755,"-1","m",42,"us"
"560",9858414,"-3","f",46,"us"
"561",9858648,"-2","f",51,"us"
"562",9858422,"0","f",21,"us"
"563",9858478,"3","f",28,"us"
"564",9867740,"3","f",42,"us"
"565",9858530,"-2","m",58,"us"
"566",9858532,"2","m",45,"us"
"567",9858605,"3","f",32,"us"
"568",9858549,"2","f",53,"us"
"569",9858588,"-1","m",47,"us"
"570",9858663,"3","f",67,"us"
"571",9858571,"-1","m",20,"us"
"572",9858650,"2","f",52,"us"
"573",9858620,"2","f",31,"us"
"574",9858612,,"f",37,
"575",9858616,"2","f",39,"us"
"576",9858649,"2","m",33,"us"
"577",9858672,"2","m",59,"us"
"578",9858658,"-2","m",32,"uk"
"579",9858725,"-2","f",54,"us"
"580",9858726,"0","m",15,"ca"
"581",9858729,"3","f",24,"us"
"582",9858690,"0","m",21,"uk"
"583",9858708,"2","f",22,"us"
"584",9858753,"2","f",39,"us"
"585",9858806,"2","f",54,"ca"
"586",9858796,"-1","m",46,"nz"
"587",9858797,"1","f",54,"us"
"588",9863562,,"f",53,
"589",9858818,"-1","f",37,"us"
"590",9858830,"3","f",43,"au"
"591",9858860,"0","f",20,"us"
"592",9859843,"2","f",47,"in"
"593",9858858,"3","f",21,"us"
"594",9858862,"2","f",17,"us"
"595",9858921,"0","m",35,"us"
"596",9858929,"2","f",20,"nz"
"597",9858953,"0","m",19,"nz"
"598",9859007,"2","f",53,"us"
"599",9859049,"0","f",18,"us"
"600",9859060,"3","m",49,"us"
"601",9859070,"-1","f",28,"us"
"602",9859090,"0","f",25,"us"
"603",9859156,"-2","m",33,"za"
"604",9859159,"3","f",50,"nl"
"605",9859164,"0","m",40,"uk"
"606",9859200,"0","f",26,"il"
"607",9859211,"0","f",36,"il"
"608",9859220,"3","f",34,"ca"
"609",9859221,"3","f",25,"us"
"610",9859242,"2","m",61,"uk"
"611",9860143,"0","m",37,"ch"
"612",9859251,"0","f",63,"uk"
"613",9859257,"-2","f",60,"uk"
"614",9859274,"2","f",33,"uk"
"615",9860652,"2","f",25,"uk"
"616",9859311,"2","f",25,"it"
"617",9863578,"0","m",38,"uk"
"618",9859328,"3","f",32,"us"
"619",9859330,"1","f",35,"us"
"620",9859334,,"f",63,"us"
"621",9859360,"2","f",47,"us"
"622",9860051,"0","m",51,"us"
"623",9859340,"2","m",36,"iq"
"624",9859385,"0","f",29,"ro"
"625",9859369,"0","f",21,"us"
"626",9859392,"1","f",33,"au"
"627",9859424,"0","f",52,"uk"
"628",9859398,"-2","f",52,"uk"
"629",9859417,"1","f",26,"us"
"630",9859419,"2","f",23,"us"
"631",9859447,"1","f",49,"mx"
"632",9859479,"2","m",40,"us"
"633",9859466,"1","m",42,"ie"
"634",9859736,"1","f",37,"us"
"635",9859480,"2","m",26,"us"
"636",9860992,"-2","m",78,"us"
"637",9859495,"3","m",48,"us"
"638",9859556,"-2","f",27,"us"
"639",9859585,"2","f",45,"uk"
"640",9859588,,"f",23,"us"
"641",9859580,"3","m",24,"us"
"642",9859609,"-1","m",21,"nl"
"643",9859592,"1","f",46,"us"
"644",9859622,,"m",41,
"645",9859621,,"f",34,"uk"
"646",9859627,"0","f",51,"uk"
"647",9859626,"2","f",32,"us"
"648",9859639,"3","f",69,"us"
"649",9859726,"1","m",36,"se"
"650",9859653,"0","f",26,"us"
"651",9859665,"0","f",45,"us"
"652",9859697,"2","m",44,"us"
"653",9860583,"-1","f",29,"us"
"654",9859725,"3","f",47,"uk"
"655",9859734,"1","m",30,"us"
"656",9859811,"-1","m",33,"us"
"657",9860049,"0","f",23,"dk"
"658",9859817,"1","m",38,"us"
"659",9859801,"0","f",42,"za"
"660",9859807,"-2","f",38,"us"
"661",9859813,"-2","m",46,"us"
"662",9859815,"-2","m",23,"us"
"663",9859885,"3","m",53,"us"
"664",9859835,"2","m",35,"us"
"665",9859882,"-2","f",57,"ca"
"666",9859887,"2","f",56,"us"
"667",9859896,"2","f",56,"us"
"668",9859922,"1","m",41,"us"
"669",9861715,"0","f",34,"us"
"670",9859916,"1","f",61,"us"
"671",9859920,"0","m",47,"us"
"672",9860037,"0","f",38,"us"
"673",9860032,"0","f",33,"us"
"674",9860035,"2","f",33,"us"
"675",9860066,,"m",21,"us"
"676",9860090,"3","f",29,"us"
"677",9860099,"-2","f",79,"uk"
"678",9860133,,"m",38,"us"
"679",9860111,"3","f",24,"us"
"680",9860236,"0","m",37,"us"
"681",9860592,"0","f",26,"us"
"682",9860237,"0","f",17,"us"
"683",9860249,"1","f",50,"us"
"684",9860270,"2","f",43,"au"
"685",9860290,"3","m",71,"us"
"686",9860358,,"f",21,"us"
"687",9860293,"0","f",41,"us"
"688",9860325,"2","m",56,"au"
"689",9860346,"1","f",22,"ca"
"690",9860349,"-2","f",39,"nz"
"691",9860350,"2","m",51,"us"
"692",9860420,"3","f",70,"us"
"693",9860415,"2","f",26,"us"
"694",9861125,"2","f",26,"us"
"695",9860383,"0","f",19,"au"
"696",9860448,"2","f",50,"us"
"697",9860398,"3","m",20,"au"
"698",9860396,"0","m",45,"us"
"699",9860408,"0","m",55,"sg"
"700",9860438,"0","f",43,"au"
"701",9860437,"1","f",20,"us"
"702",9860421,"2","m",26,"us"
"703",9860441,"2","f",24,"us"
"704",9860439,,"f",46,"ca"
"705",9860480,"2","m",25,"pr"
"706",9860497,"2","f",68,"nz"
"707",9860507,"0","f",37,"us"
"708",9860585,,"f",19,"us"
"709",9860588,"-1","f",41,"au"
"710",9860604,,"m",43,"au"
"711",9860614,"2","f",37,"us"
"712",9860663,"2","m",18,"us"
"713",9860630,"1","f",22,"us"
"714",9860632,"3","f",46,"us"
"715",9860687,"3","m",26,"au"
"716",9860701,,"f",30,"be"
"717",9860715,"2","m",47,"nl"
"718",9860713,"2","f",30,"uk"
"719",9860723,"3","f",40,"au"
"720",9860778,"3","m",22,"uk"
"721",9860802,"-2","m",50,"us"
"722",9860812,"1","m",41,"uk"
"723",9860787,"2","m",30,"au"
"724",9860800,"3","m",30,"au"
"725",9860803,"3","f",31,"uk"
"726",9860847,"-2","m",50,"uk"
"727",9860849,"2","f",46,"ie"
"728",9860861,,,40,
"729",9860866,"0","m",42,"us"
"730",9860868,"3","m",41,"uk"
"731",9860875,"2","f",63,"us"
"732",9860919,"1","m",50,"us"
"733",9860926,"0","m",47,"us"
"734",9860928,"2","f",33,"us"
"735",9860977,"2","f",53,"uk"
"736",9860959,"1","m",20,"ro"
"737",9860948,"2","f",46,"us"
"738",9860954,"3","f",50,"uk"
"739",9861005,"0","f",31,"us"
"740",9860962,"0","m",41,"nl"
"741",9860963,,"f",48,"us"
"742",9872512,"-1","f",30,"uk"
